,source,target,fold_1,fold_2,fold_3,fold_4,fold_5,mean,std,score_1,distance_1,score_2,distance_2,score_3,distance_3,score_4,distance_4,score_5,distance_5,expert_distance
0,imagenet,isic,0.9474350924801828,0.9514369770145286,0.9486999253446464,0.9417956912688804,0.9423226920931363,0.9463380756402751,0.0037292663086877374,7.716475164456517,0.380818247795105,8.385621668077084,0.380818247795105,6.650574024533985,0.4324825406074524,8.1504134983961,0.380818247795105,6.653658913361434,0.5051751136779785,5.0
1,imagenet,chest,0.9883225413691958,0.9865460063661264,0.9869050262787772,0.988659786198184,0.9832297815438944,0.9867326283512357,0.0019274981368697407,4.224097177774723,0.8462106734514236,2.357865632380338,0.8462106734514236,2.4442907637928477,0.8513539731502533,2.6076688927566414,0.8462106734514236,2.430520814894067,0.8503588289022446,6.0
2,imagenet,pcam-middle,0.9610366576866416,0.9601092413270168,0.9613896689137597,0.9616398101652088,0.9608567920026736,0.9610064340190599,0.0005246513617311015,5.839370968436242,0.2369217872619629,4.245523922620361,0.2369217872619629,4.981667872122795,0.23661935329437256,5.152045232988123,0.2369217872619629,5.516505746433715,0.19305527210235596,4.0
3,stl10,isic,0.8949797195858407,0.9051003314403164,0.8992159013618694,0.897700201830558,0.9005541306253424,0.8995100569687853,0.003353425663798818,1.7526810043474519,0.380818247795105,3.1070522431916303,0.380818247795105,1.0876985337514222,0.4324825406074524,3.086740495450491,0.380818247795105,1.9262232424738956,0.5051751136779785,5.0
4,stl10,chest,0.9714409578098768,0.9677881412391738,0.9680028129395216,0.965739256347934,0.9627619884898676,0.9671466313652748,0.002856277962786285,2.443840498650853,0.8462106734514236,0.41166644265661206,0.8462106734514236,0.48217304441369085,0.8513539731502533,0.22887067465095223,0.8462106734514236,0.2982352171537177,0.8503588289022446,6.0
5,stl10,pcam-middle,0.9009466426987772,0.9093156153274544,0.9026482627153544,0.8989177508073912,0.9048646557748636,0.9033385854647682,0.003571987999218321,-0.7783676338650185,0.2369217872619629,-1.2694820020549462,0.2369217872619629,-1.4327663528986325,0.23661935329437256,-1.7063988049789898,0.2369217872619629,-0.6322716917970279,0.19305527210235596,4.0
6,sti10,isic,0.9117907487036524,0.9105108145776374,0.916898261480384,0.8930600308736991,0.9086659688745632,0.9081851649019872,0.008041489722469031,3.6639726747006907,0.5581018626689911,3.7234026610651045,0.5581018626689911,3.0755071193408257,0.41351407766342163,2.5538898864066004,0.5581018626689911,2.8443346676280763,0.481975257396698,5.0
7,sti10,chest,0.9477207740697696,0.9553445850914206,0.9651713672366572,0.9536953582694908,0.962333498326672,0.956853116598802,0.0062429906711450114,-0.057584523770131756,0.8880188390612602,-0.8793993970929895,0.8880188390612602,0.18825879821732175,0.8403771966695786,-1.021100572751724,0.8880188390612602,0.2535961394894271,0.8437713235616684,6.0
8,sti10,pcam-middle,0.8790690717784262,0.8852126501511487,0.8872026002538685,0.8836331538733165,0.8773671535418511,0.8824969259197222,0.00371144962691127,-3.187753712957027,0.43293195962905884,-3.886503195830597,0.43293195962905884,-3.119399212630429,0.13026177883148193,-3.3777175369933152,0.43293195962905884,-3.65191038981246,0.15087580680847168,3.0
9,textures,isic,0.902872148761106,0.9124648720222496,0.9111737967922379,0.9043631237180402,0.9047843483445556,0.907131657927638,0.00390128495416545,2.649992765324347,0.5662938952445984,3.946004615819899,0.5662938952445984,2.431976505851877,0.6386522948741913,3.851872215545591,0.5662938952445984,2.405006361611206,0.5915806889533997,5.0
10,textures,chest,0.9800210304942166,0.9823414020282776,0.9800133244503664,0.9813495962588376,0.9842640681447116,0.981597884275282,0.0015950109528985671,3.3486567826203872,0.8957757279276848,1.9216220886695774,0.8957757279276848,1.7289073305670781,0.9016035422682762,1.8489836915268052,0.8957757279276848,2.5382703127044515,0.8768423348665237,6.0
11,textures,pcam-middle,0.9225530388356049,0.9231115886884246,0.9229110801514538,0.9195510176526068,0.9207283674438568,0.9217710185543894,0.0013945572624895586,1.6011538523615105,0.46498632431030273,0.22843970219724977,0.46498632431030273,0.7798893880700947,0.49222254753112793,0.5497788050553587,0.46498632431030273,1.1098020879930668,0.4135196805000305,3.0
12,isic,isic,0.8795637724254185,0.8778258244698117,0.8895403836517624,0.8708202408147496,0.883535268919952,0.8802570980563388,0.006202771347364186,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
13,isic,chest,0.9178999022266496,0.9147568287808128,0.9160596639277518,0.9100909433432576,0.9109885563575382,0.913959178927202,0.002978772486565552,-3.202360965474567,0.8512808382511139,-5.090532055836112,0.8512808382511139,-4.909712617181499,0.8703758120536804,-5.546567706616154,0.8512808382511139,-5.095396787525674,0.8762199208140373,2.0
14,isic,pcam-middle,0.847759954485597,0.8504440718334272,0.8449605451040156,0.8449572137307628,0.8416223826722528,0.8459488335652111,0.002972054083763529,-6.63583995747832,0.2845003008842468,-7.661561810791922,0.2845003008842468,-7.732140068259029,0.3539930582046509,-7.606800156398877,0.2845003008842468,-7.577223040208376,0.41387784481048584,3.0
15,chest,isic,0.9089283472108004,0.9215038106053868,0.9124768170729984,0.9097539172542948,0.9071954793045368,0.9119716742896036,0.0050618004007645925,3.338538455762949,0.8512808382511139,4.975700750425705,0.8512808382511139,2.5784589258417796,0.8703758120536804,4.470920014803324,0.8512808382511139,2.677902197781804,0.8762199208140373,2.0
16,chest,chest,0.9482668290073236,0.9638204160189504,0.9633577614923384,0.9635340095597632,0.9598992309340346,0.9597756494024822,0.005929336461372093,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
17,chest,pcam-middle,0.8112203249265317,0.8142061725968845,0.8118229555569361,0.8070763819539807,0.8163783783205395,0.8121408426709745,0.003124722822052321,-10.659964715903659,0.7845672816038132,-11.596154489586723,0.7845672816038132,-11.350693015520106,0.7990014255046844,-11.748940378080311,0.7845672816038132,-10.349393828207697,0.7902867048978806,4.0
18,pcam-middle,isic,0.9343417108244264,0.9171075712503852,0.9365868532230748,0.93223576540401,0.9181136205669024,0.9276771042537596,0.008339751160064553,6.227852955784708,0.2845003008842468,4.474890768256772,0.2845003008842468,5.288851460366098,0.3539930582046509,7.052606463510687,0.2845003008842468,3.913635693255287,0.41387784481048584,3.0
19,pcam-middle,chest,0.9627649565554264,0.9563383670145827,0.9590236138870384,0.966463256968506,0.963131376561588,0.9615443141974284,0.003511710375995885,1.5289080145595588,0.7845672816038132,-0.7762907778268678,0.7845672816038132,-0.44990010757644294,0.7990014255046844,0.30401079564188427,0.7845672816038132,0.33671718065742245,0.7902867048978806,4.0
20,pcam-middle,pcam-middle,0.9080143323728228,0.9210076415747972,0.9157690941668212,0.9145231631343722,0.9106222625602336,0.9139872987618094,0.004466474108843578,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
21,pcam-small,isic,0.9186540694038308,0.9202925367069008,0.9293588632096452,0.8990248668567546,0.888515020054196,0.9111690712462656,0.015038743875525716,4.44428229127944,0.2938540577888489,4.837715074370031,0.2938540577888489,4.476298129874564,0.3804461359977722,3.2388574266046506,0.2938540577888489,0.5636165651124839,0.4409369230270386,3.0
22,pcam-small,chest,0.9567435940007748,0.9590347175956768,0.9426493448811905,0.9385947738975616,0.9479532206945972,0.9489951302139602,0.007878502196418925,0.8939219146076144,0.7887145727872849,-0.49653424473418634,0.7887145727872849,-2.149608114338389,0.80305215716362,-2.588308810562511,0.7887145727872849,-1.2445066997098537,0.7929141372442245,4.0
26,kimia,pcam-middle,0.881556040648557,0.902520870468155,0.8887113368679824,0.8994660800248052,0.8869222041622521,0.8918353064343505,0.007899000559463156,-2.913862786188081,0.5489749610424042,-2.007233194616318,0.5489749610424042,-2.954648444808705,0.30637431144714355,-1.646440868480729,0.5489749610424042,-2.6026223355607727,0.5250808298587799,0.0
